d5db3c8 | 2025-04-27 11:15:36 +0200 | Dominique Kromm | Fehler beim Filter behoben.
0ac9c2b | 2025-04-03 23:20:33 +0200 | Nino678190 | Füge Filterfunktionalität hinzu und aktualisiere die Datenabfrage in script.js
e79d06a | 2025-04-03 23:09:28 +0200 | Nino678190 | Erweitere die Anzeige von Praktika um Dauer, Beginn und Aktualisierungsdatum
0d4b119 | 2025-04-03 23:06:45 +0200 | Nino678190 | Ändere die Funktion showPraktikas in displayPraktikas und passe die Struktur zur Anzeige von Praktika an
776f57d | 2025-04-03 23:05:26 +0200 | Nino678190 | Aktualisiere Dokumenten-ID in getData und erweitere showPraktikas zur Anzeige zusätzlicher Dokumentenfelder
423591c | 2025-04-03 23:01:17 +0200 | Nino678190 | Aktualisiere API-Endpunkt und Projekt-ID in script.js; implementiere Datenabruf
6bf6191 | 2025-04-03 22:46:00 +0200 | Nino678190 | Ändere den Hauptdateinamen in package.json von index.js zu script.js
68df0e7 | 2025-04-03 22:45:11 +0200 | Nino678190 | Füge Start- und Entwicklungs-Skripte zu package.json hinzu und aktualisiere die Abhängigkeiten
b2c8ed1 | 2025-04-03 22:41:36 +0200 | Nino678190 | Füge Rückgabe der Antwort in getData hinzu und implementiere showPraktikas zur Datenanzeige
79efbc4 | 2025-04-03 22:40:46 +0200 | Nino678190 | Füge onload-Event hinzu und implementiere die loadHome-Funktion zur dynamischen Seitenladung
a9bc06b | 2025-04-03 22:39:40 +0200 | Nino678190 | Füge index.html, script.js und style.css hinzu; implementiere Header, Footer und Home-Seite
a44e836 | 2025-04-03 19:21:59 +0200 | Nino678190 | Initial project setup with package.json, package-lock.json, and script.js for Appwrite integration
af6fe89 | 2025-04-03 15:07:19 +0200 | Nino678190 | Initial commit
